date,value
2024-01-12 00:00:00,1.64282
2024-01-12 01:00:00,1.40045
2024-01-12 02:00:00,2.943418
2024-01-12 03:00:00,2.018771
2024-01-12 04:00:00,2.467329
2024-01-12 05:00:00,0.823695
2024-01-12 06:00:00,0.858477
2024-01-12 07:00:00,3.940368
2024-01-12 08:00:00,4.336976
2024-01-12 09:00:00,2.702969
2024-01-12 10:00:00,3.433554
2024-01-12 11:00:00,4.813009
2024-01-12 12:00:00,3.695019
2024-01-12 13:00:00,4.995305
2024-01-12 14:00:00,4.624208
2024-01-12 15:00:00,4.950972
2024-01-12 16:00:00,4.202969
2024-01-12 17:00:00,4.119342
2024-01-12 18:00:00,3.402549
2024-01-12 19:00:00,4.305954
2024-01-12 20:00:00,3.386122
2024-01-12 21:00:00,6.066338
2024-01-12 22:00:00,4.216126
2024-01-12 23:00:00,3.465605
2024-01-13 00:00:00,4.989222
2024-01-13 01:00:00,5.193305
2024-01-13 02:00:00,2.262867
2024-01-13 03:00:00,2.666111
2024-01-13 04:00:00,4.327239
2024-01-13 05:00:00,4.45987
2024-01-13 06:00:00,0.411867
2024-01-13 07:00:00,3.472897
2024-01-13 08:00:00,1.812317
2024-01-13 09:00:00,4.266478
2024-01-13 10:00:00,2.165476
2024-01-13 11:00:00,4.320294
2024-01-13 12:00:00,3.328007
2024-01-13 13:00:00,4.214847
2024-01-13 14:00:00,5.141659
2024-01-13 15:00:00,5.385017
2024-01-13 16:00:00,3.331536
2024-01-13 17:00:00,4.811302
2024-01-13 18:00:00,4.419697
2024-01-13 19:00:00,3.760051
2024-01-13 20:00:00,5.676236
2024-01-13 21:00:00,6.031881
2024-01-13 22:00:00,5.564724
2024-01-13 23:00:00,1.846745
2024-01-14 00:00:00,3.682938
2024-01-14 01:00:00,2.207386
2024-01-14 02:00:00,3.570656
2024-01-14 03:00:00,4.377046
2024-01-14 04:00:00,2.925328
2024-01-14 05:00:00,4.844819
2024-01-14 06:00:00,4.528027
2024-01-14 07:00:00,2.526884
2024-01-14 08:00:00,4.534073
2024-01-14 09:00:00,3.467556
2024-01-14 10:00:00,1.5604
2024-01-14 11:00:00,5.371287
2024-01-14 12:00:00,4.620387
2024-01-14 13:00:00,4.185546
2024-01-14 14:00:00,4.001015
2024-01-14 15:00:00,5.193737
2024-01-14 16:00:00,4.041698
2024-01-14 17:00:00,6.033635
2024-01-14 18:00:00,2.711913
2024-01-14 19:00:00,3.118743
2024-01-14 20:00:00,2.349461
2024-01-14 21:00:00,5.13891
2024-01-14 22:00:00,5.261389
2024-01-14 23:00:00,4.215066
2024-01-15 00:00:00,5.275767
2024-01-15 01:00:00,4.964335
2024-01-15 02:00:00,4.652814
2024-01-15 03:00:00,5.319543
2024-01-15 04:00:00,4.808943
2024-01-15 05:00:00,0.389418
2024-01-15 06:00:00,0.837442
2024-01-15 07:00:00,3.432125
2024-01-15 08:00:00,4.031367
2024-01-15 09:00:00,4.41106
2024-01-15 10:00:00,4.589815
2024-01-15 11:00:00,5.255521
2024-01-15 12:00:00,4.352589
2024-01-15 13:00:00,3.923078
2024-01-15 14:00:00,5.174504
2024-01-15 15:00:00,4.537808
2024-01-15 16:00:00,3.945441
2024-01-15 17:00:00,4.656149
2024-01-15 18:00:00,3.829685
2024-01-15 19:00:00,0.110978
2024-01-15 20:00:00,1.611928
2024-01-15 21:00:00,3.153139
2024-01-15 22:00:00,2.687092
2024-01-15 23:00:00,6.175055
2024-01-16 00:00:00,3.632636
2024-01-16 01:00:00,5.333553
2024-01-16 02:00:00,2.084396
2024-01-16 03:00:00,2.59169
2024-01-16 04:00:00,1.652806
2024-01-16 05:00:00,2.282172
2024-01-16 06:00:00,2.63151
2024-01-16 07:00:00,1.816697
2024-01-16 08:00:00,0.034466
2024-01-16 09:00:00,4.974764
2024-01-16 10:00:00,1.745044
2024-01-16 11:00:00,3.359341
2024-01-16 12:00:00,4.005738
2024-01-16 13:00:00,2.644456
2024-01-16 14:00:00,1.650953
2024-01-16 15:00:00,5.050328
2024-01-16 16:00:00,4.970186
2024-01-16 17:00:00,4.468691
2024-01-16 18:00:00,4.876441
2024-01-16 19:00:00,5.023355
2024-01-16 20:00:00,4.87374
2024-01-16 21:00:00,4.298392
2024-01-16 22:00:00,3.935911
2024-01-16 23:00:00,3.911113
2024-01-17 00:00:00,3.949087
2024-01-17 01:00:00,3.937989
2024-01-17 02:00:00,4.778702
2024-01-17 03:00:00,4.593955
2024-01-17 04:00:00,4.054822
2024-01-17 05:00:00,0.220688
2024-01-17 06:00:00,4.777307
2024-01-17 07:00:00,0.339678
2024-01-17 08:00:00,2.128103
2024-01-17 09:00:00,5.073325
2024-01-17 10:00:00,3.036445
2024-01-17 11:00:00,4.08427
2024-01-17 12:00:00,0.186976
2024-01-17 13:00:00,6.331845
2024-01-17 14:00:00,5.879247
2024-01-17 15:00:00,6.639521
2024-01-17 16:00:00,3.988648
2024-01-17 17:00:00,4.551624
2024-01-17 18:00:00,3.551768
2024-01-17 19:00:00,2.460889
2024-01-17 20:00:00,5.116262
2024-01-17 21:00:00,5.33323
2024-01-17 22:00:00,4.682859
2024-01-17 23:00:00,4.32063
2024-01-18 00:00:00,5.256729
2024-01-18 01:00:00,4.159801
2024-01-18 02:00:00,5.363778
2024-01-18 03:00:00,5.488731
2024-01-18 04:00:00,4.758537
2024-01-18 05:00:00,3.415599
2024-01-18 06:00:00,2.611008
2024-01-18 07:00:00,3.416872
2024-01-18 08:00:00,4.651103
2024-01-18 09:00:00,2.251469
2024-01-18 10:00:00,0.0
2024-01-18 11:00:00,4.55777
2024-01-18 12:00:00,3.643203
2024-01-18 13:00:00,5.464342
2024-01-18 14:00:00,6.530214
2024-01-18 15:00:00,6.856463
2024-01-18 16:00:00,6.347073
2024-01-18 17:00:00,5.072655
2024-01-18 18:00:00,5.85225
2024-01-18 19:00:00,1.691936
2024-01-18 20:00:00,5.539646
2024-01-18 21:00:00,5.512036
2024-01-18 22:00:00,5.164055
2024-01-18 23:00:00,5.806583
2024-01-19 00:00:00,5.239386
2024-01-19 01:00:00,5.76572
2024-01-19 02:00:00,5.532886
2024-01-19 03:00:00,5.697859
2024-01-19 04:00:00,5.580551
2024-01-19 05:00:00,5.410152
2024-01-19 06:00:00,4.861141
2024-01-19 07:00:00,2.734334
2024-01-19 08:00:00,5.072155
2024-01-19 09:00:00,8.159865
2024-01-19 10:00:00,6.034528
2024-01-19 11:00:00,8.45901
2024-01-19 12:00:00,7.922663
2024-01-19 13:00:00,6.979632
2024-01-19 14:00:00,4.832867
2024-01-19 15:00:00,9.612082
2024-01-19 16:00:00,11.896554
2024-01-19 17:00:00,9.000155
